Quinteto;PTS;PTSC;T2I;T2C;T3I;T3C;T1I;T1C;AST;REB;REBD;REBO;PER;ROB;TAP;TAPC;FC;FR;T2CC;T3CC;T1CC;REBDC;REBOC;+/-;Posesiones
A. PUIG LLUCH - B. MANEL - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;-1;0.0
A. PUIG LLUCH - B. MANEL - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. SIFTAR;2;0;1;1;0;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;2;1.0
A. PUIG LLUCH - B. MANEL - E. DESTOM ALGER - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0
A. PUIG LLUCH - B. MANEL - E. DESTOM ALGER - J. MARTIN LOPEZ - O. FILBA GONZALEZ;2;1;1;1;1;0;0;0;2;2;2;0;0;1;0;0;0;0;0;0;1;1;1;1;2.0
A. PUIG LLUCH - B. MANEL - E. DESTOM ALGER - J. SIFTAR - P. CRUZ URBANEJA;5;0;2;2;1;0;2;1;0;1;0;1;0;1;0;0;1;1;0;0;0;1;1;5;2.88
A. PUIG LLUCH - B. MANEL - J. BOUMTJE BOUMTJE - O. FILBA GONZALEZ - P. CRUZ URBANEJA;5;3;2;1;1;1;0;0;1;3;2;1;0;0;0;0;1;0;1;0;1;0;1;2;2.0
A. PUIG LLUCH - B. MANEL - J. CERDAN PALACIOS - J. MARTIN LOPEZ - P. CRUZ URBANEJA;0;3;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;2;0;-3;2.0
A. PUIG LLUCH - B. MANEL - J. CERDAN PALACIOS - J. SIFTAR - P. CRUZ URBANEJA;9;3;3;2;2;1;3;2;1;3;1;2;1;1;0;0;0;3;0;1;0;1;1;6;5.32
A. PUIG LLUCH - B. MANEL - J. CERDAN PALACIOS - N. KUSTURICA - P. CRUZ URBANEJA;6;0;3;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;6;3.0
A. PUIG LLUCH - B. MANEL - J. CERDAN PALACIOS - O. FILBA GONZALEZ - P. CRUZ URBANEJA;2;0;1;1;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;2;2.0
A. PUIG LLUCH - C. GAYE - D. FERRERAS CAMARERO - E. DESTOM ALGER - J. MARTIN LOPEZ;9;4;6;4;2;0;2;1;2;5;2;3;2;1;1;0;0;2;2;0;0;1;0;5;7.88
A. PUIG LLUCH - C. GAYE - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. SIFTAR;5;2;2;2;0;0;2;1;1;2;2;0;1;0;0;0;1;0;1;0;0;0;1;3;3.88
A. PUIG LLUCH - C. GAYE - E. DESTOM ALGER - J. CERDAN PALACIOS - J. MARTIN LOPEZ;10;4;7;3;1;0;5;4;0;8;3;5;3;2;1;1;4;3;1;0;2;1;1;6;8.2
A. PUIG LLUCH - C. GAYE - E. DESTOM ALGER - J. CERDAN PALACIOS - P. CRUZ URBANEJA;8;8;2;2;1;0;8;4;2;3;1;2;1;1;0;0;1;4;1;2;0;0;0;0;5.52
A. PUIG LLUCH - C. GAYE - E. DESTOM ALGER - J. MARTIN LOPEZ - N. KUSTURICA;17;3;6;4;3;2;4;3;2;5;3;2;0;2;1;0;1;2;0;1;0;2;1;14;8.76
A. PUIG LLUCH - C. GAYE - E. DESTOM ALGER - J. MARTIN LOPEZ - P. CRUZ URBANEJA;11;5;5;4;3;1;0;0;1;5;3;2;0;1;1;0;1;0;1;1;0;1;4;6;6.0
