Quinteto,T2I,T2C,T3I,T3C,T1I,T1C,AST,REB,REBD,REBO,PER,ROB,TAP,TAPC,FC,FR,T2CC,T3CC,T1CC,REBDC,REBOC,+/-,Posesiones
A. PUIG LLUCH - B. MANEL - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0.0
B. MANEL - D. FERRERAS CAMARERO - E. DESTOM ALGER - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,-3,2.0
E. DESTOM ALGER - J. BOUMTJE BOUMTJE - J. SIFTAR - N. KUSTURICA - P. CRUZ URBANEJA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.0
B. MANEL - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - N. KUSTURICA - O. FILBA GONZALEZ,2,1,1,0,0,0,1,1,1,0,2,1,0,0,0,0,1,0,0,1,0,0,5.0
A. PUIG LLUCH - B. MANEL - J. CERDAN PALACIOS - O. FILBA GONZALEZ - P. CRUZ URBANEJA,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,2,2.0
C. GAYE - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ - O. FILBA GONZALEZ,3,1,1,0,0,0,1,4,3,1,3,0,1,0,2,1,3,0,1,1,0,-5,6.0
C. GAYE - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ - J. SIFTAR - N. KUSTURICA,2,1,1,0,0,0,1,3,2,1,1,1,0,0,0,1,0,0,0,1,0,2,3.0
C. GAYE - J. BOUMTJE BOUMTJE - J. SIFTAR - N. KUSTURICA - P. CRUZ URBANEJA,0,0,1,1,4,3,1,2,2,0,1,0,0,0,0,2,1,0,0,0,0,4,3.76
A. PUIG LLUCH - C. GAYE - E. DESTOM ALGER - J. MARTIN LOPEZ - N. KUSTURICA,6,4,3,2,4,3,2,5,3,2,0,2,1,0,1,2,0,1,0,2,1,14,8.76
A. PUIG LLUCH - B. MANEL - E. DESTOM ALGER - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
C. GAYE - E. DESTOM ALGER - J. MARTIN LOPEZ - J. SIFTAR - N. KUSTURICA,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,4.0
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - J. SIFTAR - P. CRUZ URBANEJA,0,0,4,1,0,0,0,5,4,1,3,0,0,0,0,1,2,0,0,2,2,-1,6.0
D. FERRERAS CAMARERO - E. DESTOM ALGER - J. BOUMTJE BOUMTJE - J. SIFTAR - P. CRUZ URBANEJA,1,1,2,1,0,0,0,2,1,1,0,1,0,0,0,1,1,0,0,0,1,3,2.0
C. GAYE - E. DESTOM ALGER - J. SIFTAR - N. KUSTURICA - P. CRUZ URBANEJA,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0
B. MANEL - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ - O. FILBA GONZALEZ,2,2,5,0,3,2,0,7,5,2,3,1,0,0,1,2,1,0,0,4,1,4,9.32
A. PUIG LLUCH - B. MANEL - J. BOUMTJE BOUMTJE - O. FILBA GONZALEZ - P. CRUZ URBANEJA,2,1,1,1,0,0,1,3,2,1,0,0,0,0,1,0,1,0,1,0,1,2,2.0
C. GAYE - J. CERDAN PALACIOS - J. SIFTAR - N. KUSTURICA - P. CRUZ URBANEJA,2,1,1,0,0,0,2,1,1,0,3,3,1,0,1,0,3,0,0,2,3,-4,6.0
B. MANEL - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - O. FILBA GONZALEZ - P. CRUZ URBANEJA,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2.0
A. PUIG LLUCH - B. MANEL - J. CERDAN PALACIOS - N. KUSTURICA - P. CRUZ URBANEJA,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3.0
A. PUIG LLUCH - D. FERRERAS CAMARERO - E. DESTOM ALGER - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ,0,0,2,1,0,0,1,0,0,0,3,4,0,0,1,0,1,0,2,1,0,-1,5.0
B. MANEL - J. CERDAN PALACIOS - J. SIFTAR - N. KUSTURICA - P. CRUZ URBANEJA,5,4,1,1,0,0,2,2,2,0,0,1,0,0,0,0,0,1,0,1,0,8,6.0
A. PUIG LLUCH - B. MANEL - J. CERDAN PALACIOS - J. SIFTAR - P. CRUZ URBANEJA,3,2,2,1,3,2,1,3,1,2,1,1,0,0,0,3,0,1,0,1,1,6,5.32
