Quinteto;PTS;PTSC;T2I;T2C;T3I;T3C;T1I;T1C;AST;REB;REBD;REBO;PER;ROB;TAP;TAPC;FC;FR;T2CC;T3CC;T1CC;REBDC;REBOC;+/-;Posesiones
A. PUIG LLUCH - B. MANEL - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;-1;0.0
A. PUIG LLUCH - B. MANEL - D. FERRERAS CAMARERO - J. MARTIN LOPEZ;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;-1;0.0
A. PUIG LLUCH - B. MANEL - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;-1;0.0
A. PUIG LLUCH - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ;3;5;0;0;2;1;0;0;1;0;0;0;3;4;0;0;1;0;1;0;3;1;0;-2;5.0
B. MANEL - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ;9;9;2;2;7;1;3;2;0;7;5;2;4;1;0;0;2;2;1;2;1;5;1;0;12.32
A. PUIG LLUCH - B. MANEL - D. FERRERAS CAMARERO - J. CERDAN PALACIOS;2;0;1;1;0;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;2;1.0
A. PUIG LLUCH - B. MANEL - D. FERRERAS CAMARERO - J. SIFTAR;2;0;1;1;0;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;2;1.0
A. PUIG LLUCH - B. MANEL - J. CERDAN PALACIOS - J. SIFTAR;11;3;4;3;2;1;3;2;2;4;2;2;1;2;0;0;1;3;0;1;0;1;1;8;6.32
A. PUIG LLUCH - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. SIFTAR;7;2;3;3;0;0;2;1;2;3;3;0;1;1;0;0;2;0;1;0;0;0;1;5;4.88
B. MANEL - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. SIFTAR;51;5;28;19;6;1;14;10;9;24;16;8;7;12;0;2;6;12;2;0;1;7;5;46;39.16
A. PUIG LLUCH - B. MANEL - E. DESTOM ALGER - J. BOUMTJE BOUMTJE;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0
A. PUIG LLUCH - B. MANEL - E. DESTOM ALGER - J. MARTIN LOPEZ;2;1;1;1;1;0;0;0;2;3;3;0;0;1;0;0;0;0;0;0;1;1;1;1;2.0
A. PUIG LLUCH - E. DESTOM ALGER - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ;3;4;1;0;2;1;0;0;1;5;4;1;4;4;0;0;1;1;1;0;2;1;0;-1;6.0
B. MANEL - E. DESTOM ALGER - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ;0;3;0;0;1;0;0;0;0;1;1;0;1;0;0;0;1;0;0;1;0;1;0;-3;2.0
A. PUIG LLUCH - B. MANEL - E. DESTOM ALGER - O. FILBA GONZALEZ;2;1;1;1;1;0;0;0;2;2;2;0;0;1;0;0;0;0;0;0;1;1;1;1;2.0
A. PUIG LLUCH - B. MANEL - J. MARTIN LOPEZ - O. FILBA GONZALEZ;2;1;1;1;1;0;0;0;2;2;2;0;0;1;0;0;0;0;0;0;1;1;1;1;2.0
A. PUIG LLUCH - E. DESTOM ALGER - J. MARTIN LOPEZ - O. FILBA GONZALEZ;2;1;1;1;1;0;0;0;2;2;2;0;0;1;0;0;0;0;0;0;1;1;1;1;2.0
B. MANEL - E. DESTOM ALGER - J. MARTIN LOPEZ - O. FILBA GONZALEZ;4;3;2;2;1;0;0;0;3;2;2;0;0;1;0;0;1;0;1;0;1;1;1;1;3.0
A. PUIG LLUCH - B. MANEL - E. DESTOM ALGER - J. SIFTAR;5;0;2;2;1;0;2;1;0;1;0;1;0;1;0;0;1;1;0;0;0;1;1;5;2.88
A. PUIG LLUCH - B. MANEL - E. DESTOM ALGER - P. CRUZ URBANEJA;5;0;2;2;1;0;2;1;0;1;0;1;0;1;0;0;1;1;0;0;0;1;1;5;2.88
A. PUIG LLUCH - B. MANEL - J. SIFTAR - P. CRUZ URBANEJA;14;3;5;4;3;1;5;3;1;4;1;3;1;2;0;0;1;4;0;1;0;2;2;11;8.2
A. PUIG LLUCH - E. DESTOM ALGER - J. SIFTAR - P. CRUZ URBANEJA;8;4;2;2;3;1;2;1;1;3;1;2;4;2;0;0;2;3;2;0;0;1;1;4;7.88
B. MANEL - E. DESTOM ALGER - J. SIFTAR - P. CRUZ URBANEJA;5;0;2;2;1;0;2;1;0;1;0;1;0;1;0;0;1;1;0;0;0;1;1;5;2.88
A. PUIG LLUCH - B. MANEL - J. BOUMTJE BOUMTJE - O. FILBA GONZALEZ;5;3;2;1;1;1;0;0;1;3;2;1;0;0;0;0;1;0;1;0;1;0;1;2;2.0
A. PUIG LLUCH - B. MANEL - J. BOUMTJE BOUMTJE - P. CRUZ URBANEJA;5;3;2;1;1;1;0;0;1;3;2;1;0;0;0;0;1;0;1;0;1;0;1;2;2.0
A. PUIG LLUCH - B. MANEL - O. FILBA GONZALEZ - P. CRUZ URBANEJA;7;3;3;2;2;1;0;0;1;4;3;1;0;1;0;0;2;0;1;0;1;1;1;4;4.0
A. PUIG LLUCH - J. BOUMTJE BOUMTJE - O. FILBA GONZALEZ - P. CRUZ URBANEJA;5;3;2;1;1;1;0;0;1;3;2;1;0;0;0;0;1;0;1;0;1;0;1;2;2.0
B. MANEL - J. BOUMTJE BOUMTJE - O. FILBA GONZALEZ - P. CRUZ URBANEJA;11;5;8;4;1;1;0;0;3;4;2;2;1;1;0;0;3;0;1;0;3;2;1;6;8.0
A. PUIG LLUCH - B. MANEL - J. CERDAN PALACIOS - J. MARTIN LOPEZ;0;3;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;2;0;-3;2.0
A. PUIG LLUCH - B. MANEL - J. CERDAN PALACIOS - P. CRUZ URBANEJA;17;6;8;6;4;1;3;2;1;6;4;2;1;2;0;0;1;3;0;2;0;4;1;11;12.32
A. PUIG LLUCH - B. MANEL - J. MARTIN LOPEZ - P. CRUZ URBANEJA;0;3;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;2;0;-3;2.0
A. PUIG LLUCH - J. CERDAN PALACIOS - J. MARTIN LOPEZ - P. CRUZ URBANEJA;7;8;4;2;2;1;2;0;2;3;2;1;1;0;0;0;1;1;2;1;1;3;1;-1;6.88
B. MANEL - J. CERDAN PALACIOS - J. MARTIN LOPEZ - P. CRUZ URBANEJA;25;37;18;8;11;2;5;3;7;15;9;6;9;4;0;1;4;7;11;4;3;12;2;-12;34.2
A. PUIG LLUCH - J. CERDAN PALACIOS - J. SIFTAR - P. CRUZ URBANEJA;9;5;3;2;2;1;3;2;1;3;1;2;2;1;0;0;1;4;1;1;0;1;1;4;6.32
B. MANEL - J. CERDAN PALACIOS - J. SIFTAR - P. CRUZ URBANEJA;59;13;30;20;8;3;13;10;10;22;13;9;7;8;0;2;4;8;3;2;1;8;3;46;41.72
A. PUIG LLUCH - B. MANEL - J. CERDAN PALACIOS - N. KUSTURICA;6;0;3;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;6;3.0
A. PUIG LLUCH - B. MANEL - N. KUSTURICA - P. CRUZ URBANEJA;6;0;3;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;6;3.0
A. PUIG LLUCH - J. CERDAN PALACIOS - N. KUSTURICA - P. CRUZ URBANEJA;6;0;3;3;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;6;3.88
B. MANEL - J. CERDAN PALACIOS - N. KUSTURICA - P. CRUZ URBANEJA;44;13;22;17;6;2;4;4;10;16;13;3;5;4;0;1;2;4;5;1;0;6;1;31;31.76
A. PUIG LLUCH - B. MANEL - J. CERDAN PALACIOS - O. FILBA GONZALEZ;2;0;1;1;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;2;2.0
A. PUIG LLUCH - J. CERDAN PALACIOS - O. FILBA GONZALEZ - P. CRUZ URBANEJA;2;0;1;1;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;2;2.0
B. MANEL - J. CERDAN PALACIOS - O. FILBA GONZALEZ - P. CRUZ URBANEJA;2;0;1;1;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;2;2.0
A. PUIG LLUCH - C. GAYE - D. FERRERAS CAMARERO - E. DESTOM ALGER;9;4;6;4;2;0;2;1;2;5;2;3;2;1;1;0;0;2;2;0;0;1;0;5;7.88
A. PUIG LLUCH - C. GAYE - D. FERRERAS CAMARERO - J. MARTIN LOPEZ;9;4;6;4;2;0;2;1;2;5;2;3;2;1;1;0;0;2;2;0;0;1;0;5;7.88
A. PUIG LLUCH - C. GAYE - E. DESTOM ALGER - J. MARTIN LOPEZ;47;16;24;15;9;3;11;8;5;23;11;12;5;6;4;1;6;7;4;2;2;5;6;31;30.839999999999996
