team_id,lineup,PTS,PTSC,T2I,T2C,T3I,T3C,T1I,T1C,AST,REB,REBD,REBO,PER,ROB,TAP,TAPC,FC,FR,T2CC,T3CC,T1CC,REBDC,REBOC,+/-,Posesiones,Players,n_jug
952711,2349400 - 2364121 - 2371227 - 2377856 - 2435313,8,2,3,1,3,2,1,0,1,5,5,0,1,2,0,0,1,5,1,0,0,4,0,6,7.44,"['2349400', '2364121', '2371227', '2377856', '2435313']",5
952711,2349400 - 2364121 - 2371227 - 2377856 - 2436527,5,10,4,1,5,1,0,0,1,7,6,1,4,0,0,0,3,0,4,0,2,6,2,-5,12.0,"['2349400', '2364121', '2371227', '2377856', '2436527']",5
952711,2349400 - 2364121 - 2371227 - 2391928 - 2427354,1,0,0,0,3,0,2,1,0,3,3,0,0,0,1,0,0,1,0,0,0,2,0,1,3.88,"['2349400', '2364121', '2371227', '2391928', '2427354']",5
952711,2349400 - 2364121 - 2371227 - 2391928 - 2434440,2,0,2,1,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,2,3.0,"['2349400', '2364121', '2371227', '2391928', '2434440']",5
952711,2349400 - 2364121 - 2371227 - 2427354 - 2435313,5,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2.0,"['2349400', '2364121', '2371227', '2427354', '2435313']",5
952711,2349400 - 2364121 - 2371227 - 2427354 - 2436527,0,2,0,0,1,0,0,0,0,1,1,0,2,0,0,0,1,0,1,0,0,1,0,-2,3.0,"['2349400', '2364121', '2371227', '2427354', '2436527']",5
952711,2349400 - 2364121 - 2371227 - 2427354 - 2470092,0,4,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,2,0,0,0,0,-4,1.0,"['2349400', '2364121', '2371227', '2427354', '2470092']",5
952711,2349400 - 2364121 - 2371227 - 2434440 - 2434442,2,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1.0,"['2349400', '2364121', '2371227', '2434440', '2434442']",5
952711,2349400 - 2364121 - 2371227 - 2434440 - 2435313,2,0,2,1,1,0,0,0,0,4,2,2,1,0,0,0,0,0,0,0,0,0,0,2,2.0,"['2349400', '2364121', '2371227', '2434440', '2435313']",5
952711,2349400 - 2364121 - 2371227 - 2434440 - 2436527,5,2,3,2,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,2,1,3,4.44,"['2349400', '2364121', '2371227', '2434440', '2436527']",5
