team_id,lineup,PTS,PTSC,T2I,T2C,T3I,T3C,T1I,T1C,AST,REB,REBD,REBO,PER,ROB,TAP,TAPC,FC,FR,T2CC,T3CC,T1CC,REBDC,REBOC,+/-,Posesiones,Players,n_jug
952958,2423283 - 2434846 - 2467768 - 2467848 - 2470173,23,4,8,8,1,1,7,4,0,0,0,0,0,0,0,0,2,6,2,0,0,0,0,19,12.08,"['2423283', '2434846', '2467768', '2467848', '2470173']",5
952958,2423283 - 2434846 - 2467768 - 2470153 - 2470173,16,4,5,5,2,2,10,0,0,0,0,0,0,0,0,0,0,8,1,0,2,0,0,12,11.4,"['2423283', '2434846', '2467768', '2470153', '2470173']",5
952958,2423283 - 2434846 - 2467768 - 2470478 - 2555762,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,"['2423283', '2434846', '2467768', '2470478', '2555762']",5
952958,2423283 - 2434846 - 2467768 - 2470478 - 2556059,18,5,6,6,1,1,8,3,0,0,0,0,0,0,0,0,4,4,1,0,3,0,0,13,10.52,"['2423283', '2434846', '2467768', '2470478', '2556059']",5
952958,2423283 - 2434846 - 2467769 - 2467848 - 2470173,7,7,0,0,0,0,10,7,0,0,0,0,0,0,0,0,2,8,2,1,0,0,0,0,4.4,"['2423283', '2434846', '2467769', '2467848', '2470173']",5
952958,2423283 - 2434846 - 2467769 - 2470153 - 2470478,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,-2,0.0,"['2423283', '2434846', '2467769', '2470153', '2470478']",5
952958,2423283 - 2434846 - 2467769 - 2470478 - 2555762,8,6,2,2,1,1,2,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,2,3.88,"['2423283', '2434846', '2467769', '2470478', '2555762']",5
952958,2423283 - 2434846 - 2467848 - 2470171 - 2470173,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-1,0.0,"['2423283', '2434846', '2467848', '2470171', '2470173']",5
952958,2423283 - 2434846 - 2470153 - 2470171 - 2470173,3,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1.44,"['2423283', '2434846', '2470153', '2470171', '2470173']",5
952958,2423283 - 2434846 - 2470153 - 2470171 - 2470478,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0.88,"['2423283', '2434846', '2470153', '2470171', '2470478']",5
952958,2423283 - 2467768 - 2467769 - 2470478 - 2651628,4,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1.88,"['2423283', '2467768', '2467769', '2470478', '2651628']",5
