team_id,lineup,PTS,PTSC,T2I,T2C,T3I,T3C,T1I,T1C,AST,REB,REBD,REBO,PER,ROB,TAP,TAPC,FC,FR,T2CC,T3CC,T1CC,REBDC,REBOC,+/-,Posesiones,Players,n_jug
950941,1357483 - 1522827 - 1680760 - 1865395 - 2004240,4,4,2,1,0,0,4,2,0,3,1,2,0,0,0,0,0,3,1,0,2,0,0,0,1.7599999999999998,"['1357483', '1522827', '1680760', '1865395', '2004240']",5
950941,1357483 - 1522827 - 1680760 - 1865395 - 2566363,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1.0,"['1357483', '1522827', '1680760', '1865395', '2566363']",5
950941,1357483 - 1522827 - 1680760 - 1993036 - 1999405,2,8,3,0,0,0,2,2,0,2,1,1,1,0,0,0,2,2,3,0,2,2,0,-6,3.88,"['1357483', '1522827', '1680760', '1993036', '1999405']",5
950941,1357483 - 1522827 - 1680760 - 1993036 - 2004240,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,"['1357483', '1522827', '1680760', '1993036', '2004240']",5
950941,1357483 - 1522827 - 1680760 - 1993036 - 2566363,3,3,2,0,1,0,4,3,0,3,2,1,0,0,0,0,1,2,1,0,1,3,0,0,3.76,"['1357483', '1522827', '1680760', '1993036', '2566363']",5
950941,1357483 - 1522827 - 1680760 - 2004240 - 2090261,3,5,1,1,2,0,2,1,1,1,0,1,0,0,0,0,2,0,1,1,0,2,1,-2,2.88,"['1357483', '1522827', '1680760', '2004240', '2090261']",5
950941,1357483 - 1522827 - 1680760 - 2004240 - 2566363,3,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,-1,1.44,"['1357483', '1522827', '1680760', '2004240', '2566363']",5
950941,1357483 - 1522827 - 1836643 - 1993036 - 1999405,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,2,0,0,2.0,"['1357483', '1522827', '1836643', '1993036', '1999405']",5
950941,1357483 - 1522827 - 1865395 - 1999405 - 2004240,5,4,0,0,3,1,2,2,1,3,3,0,2,1,1,0,0,3,2,0,0,2,1,1,5.879999999999999,"['1357483', '1522827', '1865395', '1999405', '2004240']",5
950941,1357483 - 1522827 - 1865395 - 1999405 - 2566363,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,-2,2.0,"['1357483', '1522827', '1865395', '1999405', '2566363']",5
