team_id,lineup,PTS,PTSC,T2I,T2C,T3I,T3C,T1I,T1C,AST,REB,REBD,REBO,PER,ROB,TAP,TAPC,FC,FR,T2CC,T3CC,T1CC,REBDC,REBOC,+/-,Posesiones,Players,n_jug
950682,1241485 - 1509876 - 1762996 - 2021089 - 2433615,1,3,1,0,2,0,2,1,0,3,2,1,0,0,0,0,1,2,0,1,0,2,1,-2,2.88,"['1241485', '1509876', '1762996', '2021089', '2433615']",5
950682,1241485 - 1509876 - 1762996 - 2021089 - 2734945,4,2,5,2,1,0,0,0,0,5,2,3,1,1,0,0,0,1,1,0,0,1,0,2,4.0,"['1241485', '1509876', '1762996', '2021089', '2734945']",5
950682,1241485 - 1509876 - 1762996 - 2021089 - 2783882,1,3,0,0,0,0,2,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,-2,1.88,"['1241485', '1509876', '1762996', '2021089', '2783882']",5
950682,1241485 - 1509876 - 1762996 - 2433615 - 2527396,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1.0,"['1241485', '1509876', '1762996', '2433615', '2527396']",5
950682,1241485 - 1509876 - 1762996 - 2527396 - 2734945,2,3,3,1,4,0,0,0,1,6,5,1,1,1,0,0,1,3,0,0,3,4,1,-1,7.0,"['1241485', '1509876', '1762996', '2527396', '2734945']",5
950682,1241485 - 1509876 - 1762996 - 2527396 - 2783882,2,6,4,1,1,0,0,0,0,2,1,1,0,0,1,0,0,1,1,1,1,3,0,-4,4.0,"['1241485', '1509876', '1762996', '2527396', '2783882']",5
950682,1241485 - 1509876 - 1762996 - 2734945 - 2788823,0,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,-3,3.0,"['1241485', '1509876', '1762996', '2734945', '2788823']",5
950682,1241485 - 1509876 - 2021089 - 2433615 - 2734945,13,14,6,5,5,0,8,3,1,10,7,3,3,1,0,0,5,5,2,0,10,7,0,-1,14.52,"['1241485', '1509876', '2021089', '2433615', '2734945']",5
950682,1241485 - 1509876 - 2021089 - 2433615 - 2783882,22,20,6,2,4,3,13,9,1,6,4,2,8,4,0,0,5,12,5,2,4,5,4,2,21.72,"['1241485', '1509876', '2021089', '2433615', '2783882']",5
950682,1241485 - 1509876 - 2021089 - 2734945 - 2783882,3,11,5,1,2,0,1,1,0,3,3,0,3,3,0,0,3,5,2,2,1,6,4,-8,10.44,"['1241485', '1509876', '2021089', '2734945', '2783882']",5
