Quinteto;PTS;PTSC;T2I;T2C;T3I;T3C;T1I;T1C;AST;REB;REBD;REBO;PER;ROB;TAP;TAPC;FC;FR;T2CC;T3CC;T1CC;REBDC;REBOC;+/-;Posesiones
A. PUIG LLUCH - B. MANEL - D. FERRERAS CAMARERO;2;1;1;1;0;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;1;0;0;1;1.0
A. PUIG LLUCH - B. MANEL - J. BOUMTJE BOUMTJE;5;4;2;1;1;1;0;0;1;4;3;1;0;0;0;0;1;0;1;0;2;0;1;1;2.0
A. PUIG LLUCH - B. MANEL - J. MARTIN LOPEZ;2;5;2;1;2;0;0;0;2;4;4;0;0;1;0;0;0;0;0;1;2;3;1;-3;4.0
A. PUIG LLUCH - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE;14;10;5;4;5;2;0;0;5;5;2;3;3;5;0;0;4;0;2;0;6;1;1;4;10.0
A. PUIG LLUCH - D. FERRERAS CAMARERO - J. MARTIN LOPEZ;12;9;6;4;4;1;2;1;3;5;2;3;5;5;1;0;1;2;3;0;3;2;0;3;12.879999999999999
A. PUIG LLUCH - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ;3;5;1;0;2;1;0;0;1;5;4;1;4;4;0;0;1;1;1;0;3;1;0;-2;6.0
B. MANEL - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE;46;43;33;13;17;5;10;5;13;35;23;12;17;8;4;1;11;11;12;4;7;21;14;3;59.4
B. MANEL - D. FERRERAS CAMARERO - J. MARTIN LOPEZ;31;39;18;9;16;3;7;4;5;19;11;8;12;6;0;1;6;8;10;5;4;14;3;-8;41.08
B. MANEL - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ;12;14;4;3;7;1;5;3;0;10;7;3;5;1;0;0;3;3;3;2;2;5;3;-2;15.2
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ;27;22;14;9;10;2;6;3;6;19;13;6;11;5;3;0;9;5;6;2;4;8;5;5;31.63
A. PUIG LLUCH - B. MANEL - J. CERDAN PALACIOS;19;6;9;7;4;1;3;2;2;7;5;2;1;3;0;0;2;3;0;2;0;4;1;13;13.32
A. PUIG LLUCH - B. MANEL - J. SIFTAR;16;3;6;5;3;1;5;3;2;5;2;3;1;3;0;0;2;4;0;1;0;2;2;13;9.2
A. PUIG LLUCH - D. FERRERAS CAMARERO - J. CERDAN PALACIOS;7;2;3;3;0;0;2;1;2;3;3;0;1;1;0;0;2;0;1;0;0;0;1;5;4.88
A. PUIG LLUCH - D. FERRERAS CAMARERO - J. SIFTAR;7;2;3;3;0;0;2;1;2;3;3;0;1;1;0;0;2;0;1;0;0;0;1;5;4.88
A. PUIG LLUCH - J. CERDAN PALACIOS - J. SIFTAR;16;7;6;5;2;1;5;3;3;6;4;2;3;2;0;0;3;4;2;1;0;1;2;9;11.2
B. MANEL - D. FERRERAS CAMARERO - J. CERDAN PALACIOS;93;46;53;29;23;7;21;14;18;50;32;18;18;21;0;4;12;22;14;4;6;23;13;47;85.24
B. MANEL - D. FERRERAS CAMARERO - J. SIFTAR;53;9;32;20;6;1;14;10;9;27;17;10;8;13;1;2;6;13;4;0;1;8;6;44;42.16
B. MANEL - J. CERDAN PALACIOS - J. SIFTAR;84;17;43;30;11;3;21;15;16;36;24;12;11;14;0;3;7;16;5;2;1;12;6;67;62.24000000000001
D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. SIFTAR;85;39;45;28;21;6;18;11;17;45;33;12;15;13;0;2;17;15;12;3;6;22;12;46;76.91
A. PUIG LLUCH - B. MANEL - E. DESTOM ALGER;7;1;3;3;2;0;2;1;2;4;3;1;0;2;0;0;1;1;0;0;1;2;2;6;4.88
A. PUIG LLUCH - E. DESTOM ALGER - J. BOUMTJE BOUMTJE;17;11;6;4;7;3;0;0;6;12;7;5;7;6;0;0;4;2;3;0;5;1;1;6;15.0
A. PUIG LLUCH - E. DESTOM ALGER - J. MARTIN LOPEZ;61;27;30;18;14;5;15;10;10;35;20;15;10;12;4;2;9;11;7;2;7;9;8;34;45.6
B. MANEL - E. DESTOM ALGER - J. BOUMTJE BOUMTJE;0;3;0;0;1;0;0;0;0;1;1;0;1;0;0;0;1;0;0;1;0;1;0;-3;2.0
B. MANEL - E. DESTOM ALGER - J. MARTIN LOPEZ;4;6;2;2;2;0;0;0;3;3;3;0;1;1;0;0;2;0;1;1;1;2;1;-2;5.0
E. DESTOM ALGER - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ;17;17;5;3;4;2;5;5;3;9;8;1;6;4;1;0;5;4;4;2;3;3;2;0;16.2
A. PUIG LLUCH - B. MANEL - O. FILBA GONZALEZ;9;4;4;3;3;1;0;0;3;6;5;1;0;2;0;0;2;0;1;0;2;2;2;5;6.0
A. PUIG LLUCH - E. DESTOM ALGER - O. FILBA GONZALEZ;13;6;6;5;4;1;0;0;6;7;4;3;0;2;0;0;3;0;1;0;4;1;2;7;7.0
A. PUIG LLUCH - J. MARTIN LOPEZ - O. FILBA GONZALEZ;2;1;1;1;1;0;0;0;2;2;2;0;0;1;0;0;0;0;0;0;1;1;1;1;2.0
B. MANEL - E. DESTOM ALGER - O. FILBA GONZALEZ;4;3;2;2;1;0;0;0;3;2;2;0;0;1;0;0;1;0;1;0;1;1;1;1;3.0
B. MANEL - J. MARTIN LOPEZ - O. FILBA GONZALEZ;26;19;14;10;12;1;5;3;9;18;12;6;4;4;2;0;4;6;4;3;2;10;4;7;26.200000000000003
E. DESTOM ALGER - J. MARTIN LOPEZ - O. FILBA GONZALEZ;11;3;4;3;4;1;3;2;4;7;5;2;0;2;0;0;4;1;1;0;1;3;2;8;7.32
A. PUIG LLUCH - B. MANEL - P. CRUZ URBANEJA;27;9;12;9;6;2;5;3;2;10;6;4;1;3;0;0;3;4;1;2;1;5;3;18;17.2
