Quinteto;PTS;PTSC;T2I;T2C;T3I;T3C;T1I;T1C;AST;REB;REBD;REBO;PER;ROB;TAP;TAPC;FC;FR;T2CC;T3CC;T1CC;REBDC;REBOC;+/-;Posesiones
A. PUIG LLUCH - B. MANEL;31;11;14;11;7;2;5;3;5;14;10;4;1;5;0;0;4;4;1;2;3;6;4;20;20.2
A. PUIG LLUCH - D. FERRERAS CAMARERO;30;16;14;11;7;2;4;2;9;13;7;6;6;7;1;0;6;2;5;0;6;2;2;14;22.759999999999998
A. PUIG LLUCH - J. BOUMTJE BOUMTJE;22;15;8;5;8;4;0;0;7;15;9;6;7;6;0;0;5;2;4;0;7;1;2;7;17.0
A. PUIG LLUCH - J. MARTIN LOPEZ;61;31;31;18;15;5;15;10;10;36;21;15;10;12;4;2;9;11;7;3;8;11;8;30;47.6
B. MANEL - D. FERRERAS CAMARERO;129;78;82;42;35;9;29;18;29;76;49;27;33;28;4;4;22;30;23;7;11;40;22;51;135.76
B. MANEL - J. BOUMTJE BOUMTJE;60;56;46;17;22;6;14;8;15;50;33;17;22;11;7;1;14;16;16;5;9;29;23;4;79.15
B. MANEL - J. MARTIN LOPEZ;57;68;34;19;25;4;12;7;16;36;23;13;15;8;2;1;10;14;17;9;7;23;8;-11;66.28
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE;171;148;94;51;60;19;28;12;44;94;60;34;41;25;8;3;41;33;43;10;32;55;41;23;173.29999999999998
D. FERRERAS CAMARERO - J. MARTIN LOPEZ;72;63;40;23;29;6;14;8;17;43;25;18;21;13;4;1;17;17;19;6;7;22;8;9;78.14999999999999
J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ;82;63;42;30;21;3;22;13;16;52;37;15;18;13;5;0;18;16;20;5;8;16;13;19;75.67
A. PUIG LLUCH - J. CERDAN PALACIOS;51;28;24;16;8;2;24;13;7;25;14;11;8;7;1;2;11;14;6;4;4;8;4;23;39.56
A. PUIG LLUCH - J. SIFTAR;24;9;8;7;5;2;7;4;4;9;5;4;6;4;0;0;4;6;3;1;0;2;3;15;18.08
B. MANEL - J. CERDAN PALACIOS;153;81;84;51;37;10;31;21;33;77;51;26;25;25;2;5;17;31;22;10;7;37;18;72;133.64
B. MANEL - J. SIFTAR;97;26;55;35;16;3;25;18;17;48;31;17;16;19;4;3;8;22;8;3;1;20;14;71;80.99
D. FERRERAS CAMARERO - J. CERDAN PALACIOS;165;118;88;49;51;16;31;19;36;84;55;29;29;27;0;4;32;35;36;9;19;47;25;47;152.63
D. FERRERAS CAMARERO - J. SIFTAR;123;78;71;43;31;8;25;13;24;64;42;22;27;23;2;3;23;25;24;6;12;33;24;45;117.99000000000001
J. CERDAN PALACIOS - J. SIFTAR;172;88;83;56;44;12;36;24;35;85;55;30;32;22;3;3;22;28;27;8;10;34;19;84;144.82999999999998
A. PUIG LLUCH - E. DESTOM ALGER;88;44;39;26;21;7;27;15;17;46;24;22;15;16;4;2;15;18;11;4;10;11;10;44;64.88
B. MANEL - E. DESTOM ALGER;9;6;4;4;3;0;2;1;3;4;3;1;1;2;0;0;3;1;1;1;1;3;2;3;7.88
E. DESTOM ALGER - J. BOUMTJE BOUMTJE;50;34;17;13;14;6;7;6;9;19;13;6;9;10;2;0;9;8;11;2;6;5;5;16;37.080000000000005
E. DESTOM ALGER - J. MARTIN LOPEZ;86;42;38;23;21;8;22;16;15;44;27;17;13;13;5;2;15;15;11;4;8;14;11;44;64.67999999999999
